Phrase	NPQ	IDF	PMI	CMI
两岸对话与谈判 	 3.5477301513572677 	 2.70805020110221 	 6.965589314912473 	 -1000
曼彻斯特联队 	 3.541490002719853 	 0.5108256237659907 	 7.057309693127246 	 -1000
日晚上7时30分 	 3.533720416497858 	 1.6094379124341003 	 6.491232075759693 	 -1000
着 	 3.5267609715645403 	 -0.03278982282299084 	 1000 	 -3.123139242647545
无 	 3.5238390250553393 	 -0.03278982282299084 	 1000 	 -3.3242684802578966
交通及资讯科技部政务 	 3.5217262318425058 	 1.2039728043259361 	 7.41602144235531 	 -1000
只 	 3.5215339672096495 	 -0.03278982282299084 	 1000 	 -5.0745368731172515
/ 	 3.503558718056254 	 0.6931471805599453 	 1000 	 -1000
跟 	 3.5032868031524043 	 -0.03278982282299084 	 1000 	 -6.0459081595225275
名 	 3.4937521210404214 	 -0.03278982282299084 	 1000 	 -4.302837173556988
腹 	 3.489800626064466 	 0.4054651081081644 	 1000 	 -1000
磨 	 3.4862389831136618 	 0.4054651081081644 	 1000 	 -1000
穆 	 3.478871457306355 	 0.5108256237659907 	 1000 	 -1000
两 	 3.475016392200967 	 -0.03278982282299084 	 1000 	 -2.7604282870075845
米德尔斯伯勒 	 3.4743600769675984 	 1.0986122886681098 	 8.77288130290015 	 -1000
签订自由贸易协定 	 3.47381216796905 	 1.2039728043259361 	 7.027041148254582 	 -1000
泼 	 3.4722366512161695 	 0.5108256237659907 	 1000 	 -1000
腿 	 3.471748171404759 	 0.5679840376059393 	 1000 	 -1000
拆 	 3.468675008265371 	 0.6931471805599453 	 1000 	 -1000
郊 	 3.468675008265371 	 0.6286086594223741 	 1000 	 -1000
筒 	 3.468675008265371 	 0.6931471805599453 	 1000 	 -1000
堆 	 3.468675008265371 	 0.7621400520468967 	 1000 	 -1000
赵 	 3.4646248855031563 	 0.5108256237659907 	 1000 	 -1000
才 	 3.462650621414174 	 -0.03278982282299084 	 1000 	 -3.4446824936018943
哭 	 3.4575015996015543 	 0.5679840376059393 	 1000 	 -1000
脱氧核糖核酸 	 3.4552088944482793 	 1.3217558399823195 	 9.76668571477501 	 -1000
4 	 3.447843958526049 	 -0.03278982282299084 	 1000 	 -5.034485661592713
汗 	 3.4468166707491537 	 0.5108256237659907 	 1000 	 -1000
给 	 3.444049474435007 	 -0.03278982282299084 	 1000 	 -2.1746042107279004
胸 	 3.442766547986944 	 0.3566749439387324 	 1000 	 -1000
眉 	 3.4399376247532625 	 0.5108256237659907 	 1000 	 -1000
旋 	 3.439693384847557 	 0.5679840376059393 	 1000 	 -1000
摸 	 3.439693384847557 	 0.5108256237659907 	 1000 	 -1000
围绕 	 3.4382047074609927 	 0.5679840376059393 	 8.45232030092004 	 -1000
脉 	 3.4363759818024584 	 0.5679840376059393 	 1000 	 -1000
悦 	 3.4363759818024584 	 0.5679840376059393 	 1000 	 -1000
呆 	 3.4361317418967534 	 0.5108256237659907 	 1000 	 -1000
惟 	 3.4328143388516597 	 0.7621400520468967 	 1000 	 -1000
仇 	 3.4328143388516597 	 0.7621400520468967 	 1000 	 -1000
逾 	 3.4325700989459547 	 0.5108256237659907 	 1000 	 -1000
逆 	 3.4290084559951524 	 0.5679840376059393 	 1000 	 -1000
该 	 3.4287019928461513 	 -0.03278982282299084 	 1000 	 -2.090818115846496
诺贝尔文学奖 	 3.4263813337346694 	 1.455287232606842 	 8.536201784900742 	 -1000
涌 	 3.425446813044353 	 0.5679840376059393 	 1000 	 -1000
郎 	 3.425202573138647 	 0.6931471805599453 	 1000 	 -1000
国家导弹防御系统 	 3.4222821247924284 	 1.6094379124341003 	 5.388772004201505 	 -1000
忌 	 3.421885170093554 	 0.5679840376059393 	 1000 	 -1000
躲 	 3.421885170093554 	 0.5108256237659907 	 1000 	 -1000
鸣 	 3.421885170093554 	 0.5679840376059393 	 1000 	 -1000
比 	 3.4206698087901204 	 -0.03278982282299084 	 1000 	 -2.5262417315492525
刮 	 3.4183235271427512 	 0.5679840376059393 	 1000 	 -1000
舒 	 3.4112002412411533 	 0.5679840376059393 	 1000 	 -1000
肩 	 3.4076385982903514 	 0.5108256237659907 	 1000 	 -1000
粉 	 3.4076385982903514 	 0.5679840376059393 	 1000 	 -1000
巷 	 3.4076385982903514 	 0.5679840376059393 	 1000 	 -1000
捧 	 3.4040769553395522 	 0.5679840376059393 	 1000 	 -1000
崇 	 3.4038327154338464 	 0.6286086594223741 	 1000 	 -1000
凉 	 3.4005153123887544 	 0.6931471805599453 	 1000 	 -1000
菌 	 3.4005153123887544 	 0.7621400520468967 	 1000 	 -1000
棒 	 3.4005153123887544 	 0.6286086594223741 	 1000 	 -1000
锡 	 3.400271072483048 	 0.6286086594223741 	 1000 	 -1000
赤 	 3.400271072483048 	 0.7621400520468967 	 1000 	 -1000
再 	 3.4001496186811324 	 -0.03278982282299084 	 1000 	 -5.122164759126883
垄断 	 3.397976344453747 	 0.7621400520468967 	 8.743046395017641 	 -1000
齿 	 3.3969536694379507 	 0.7621400520468967 	 1000 	 -1000
瑟 	 3.3969536694379507 	 0.7621400520468967 	 1000 	 -1000
亚细安自由贸易区 	 3.394967543240032 	 1.6094379124341003 	 6.917792606972299 	 -1000
因 	 3.3940949111114054 	 -0.03278982282299084 	 1000 	 -2.2279064794341914
点 	 3.392529278471845 	 -0.03278982282299084 	 1000 	 -3.3694154402394436
若 	 3.392511496540303 	 -0.03278982282299084 	 1000 	 -6.343942218245773
井浚泓／李佳薇 	 3.392024044944602 	 1.2039728043259361 	 10.100177323258084 	 -1000
湿 	 3.3898303835363546 	 0.9162907318741551 	 1000 	 -1000
艳 	 3.3895861436306416 	 0.6286086594223741 	 1000 	 -1000
屡 	 3.3895861436306416 	 0.7621400520468967 	 1000 	 -1000
冬 	 3.3895861436306416 	 0.6286086594223741 	 1000 	 -1000
吞 	 3.3862687405855487 	 0.7621400520468967 	 1000 	 -1000
攀 	 3.3862687405855487 	 0.6286086594223741 	 1000 	 -1000
腰 	 3.3862687405855487 	 0.7621400520468967 	 1000 	 -1000
垮 	 3.3862687405855487 	 0.6931471805599453 	 1000 	 -1000
哄 	 3.3862687405855487 	 0.7621400520468967 	 1000 	 -1000
鼎 	 3.386024500679844 	 0.6286086594223741 	 1000 	 -1000
晶 	 3.386024500679844 	 0.6931471805599453 	 1000 	 -1000
